,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.15625,5.0,-0.5,-0.05236075946805259,1,3,6,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.0078125,1.0,-0.7,-0.12119816708194209,1,1,8,True
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.00390625,1.0,-0.8,-0.11094027597736904,1,0,9,True
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.07421875,7.0,-0.30000000000000004,-0.0688374076138895,3,1,6,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.109375,6.0,-0.20000000000000004,-0.05857951650931646,3,2,5,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.6875,11.0,0.1,0.010257891104573036,4,3,3,False
