,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.009765625,3.0,-0.8,-0.05631314618105463,1,0,9,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.02734375,6.0,-0.8,-0.05685541991277569,1,0,9,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.00390625,1.0,-0.8,-0.04563388694788269,1,0,9,True
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,1.0,27.0,0.20000000000000004,-0.0005422737317210602,6,0,4,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.9375,13.0,0.1,0.01067925923317194,4,3,3,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.4921875,20.0,0.4,0.011221532964893,7,0,3,False
