,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.42578125,15.0,-0.1,-0.016627136921965203,4,1,5,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.4921875,20.0,-0.4,-0.010095982072343818,3,0,7,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.00390625,1.0,-0.8,-0.03680064430621192,1,0,9,True
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.91015625,21.0,0.30000000000000004,0.0065311548496213845,6,1,3,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.203125,11.0,-0.5,-0.020173507384246715,2,1,7,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.078125,5.0,-0.4,-0.0267046622338681,2,2,6,False
