,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.875,4.0,0.0,-0.003954933954933948,2,6,2,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.84375,9.0,-0.2,-0.02839549339549339,2,4,4,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.15625,5.0,-0.5,-0.07492035742035744,1,3,6,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.625,5.0,-0.1,-0.02444055944055944,2,5,3,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.109375,4.0,-0.5,-0.07096542346542349,1,3,6,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.6875,11.0,-0.1,-0.04652486402486405,3,3,4,False
