,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.4375,4.0,-0.1,-0.02416666666666666,2,5,3,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.5,1.0,-0.1,-0.020641025641025657,1,7,2,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.0625,1.0,-0.4,-0.06864607614607615,1,4,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,1.0,7.0,0.1,0.003525641025641002,3,5,2,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.046875,2.0,-0.5,-0.044479409479409496,1,3,6,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.0625,0.0,-0.5,-0.048005050505050495,0,5,5,False
