,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.109375,4.0,-0.3,-0.0634767371861025,2,3,5,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.015625,0.0,-0.7,-0.057539559683522534,0,3,7,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.125,0.0,-0.4,-0.05062951496388028,0,6,4,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,1.0,7.0,0.1,0.005937177502579977,3,5,2,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,1.0,3.0,-0.1,0.012847222222222222,1,7,2,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.375,4.0,0.1,0.006910044719642244,3,5,2,False
