center_time,start_time,end_time,acc_x_permutation_entropy,acc_x_spectral_entropy,acc_x_mean,acc_x_std,acc_x_range,acc_x_rms,acc_x_var,acc_x_min,acc_x_max,acc_x_time_energy,acc_x_spectral_energy,acc_y_permutation_entropy,acc_y_spectral_entropy,acc_y_mean,acc_y_std,acc_y_range,acc_y_rms,acc_y_var,acc_y_min,acc_y_max,acc_y_time_energy,acc_y_spectral_energy,acc_z_permutation_entropy,acc_z_spectral_entropy,acc_z_mean,acc_z_std,acc_z_range,acc_z_rms,acc_z_var,acc_z_min,acc_z_max,acc_z_time_energy,acc_z_spectral_energy,acc_mag_permutation_entropy,acc_mag_spectral_entropy,acc_mag_mean,acc_mag_std,acc_mag_range,acc_mag_rms,acc_mag_var,acc_mag_min,acc_mag_max,acc_mag_time_energy,acc_mag_spectral_energy,label,experiment_id
0.999185721207544,0.0,1.998371442415088,0.837517105429994,0.6560827613766939,1.0272083730081645,1.00563704478599,5.3495321023065205,1.4375197067949987,1.011305865845899,-1.100002294223319,4.249529808083201,243.84262307602955,28773.429522971503,0.84035445706458,0.7035974052040032,0.0630616565725855,1.0510863319494959,5.993984538782314,1.0529763766299434,1.1047824772110457,-2.8937743537919487,3.100210184990365,130.83359146940546,15438.36379338984,0.808091310842419,0.6918334988907132,0.24295626729909053,0.5537042169184839,2.636364952704162,0.6046619780118629,0.30658835983331145,-1.1928839444189303,1.4434810082852318,43.142700703079804,5090.838682963417,0.9265367661293341,0.6678193110510746,1.6464089890597362,0.9111397837660364,4.338768741246303,1.8817115253985992,0.8301757055612197,0.1075881335121065,4.4463568747584095,417.81891524851494,49302.63199932477,pre-void,1
1.3886987989664172,0.3895130777588731,2.3878845201739614,0.856472144644625,0.6341045595698348,1.0490541056604314,0.9367236205960168,5.3495321023065205,1.4064016702157027,0.8774511413825105,-1.100002294223319,4.249529808083201,233.39994764229118,27541.19382179035,0.8428042053611656,0.7133012002016915,0.15589228187211956,0.8952954250560784,5.063745477924465,0.9087663625341996,0.801553898126344,-2.8937743537919487,2.1699711241325166,97.45104359748956,11499.223144503769,0.836770576344812,0.6711686324114405,0.2767964087459545,0.5454514313335052,2.636364952704162,0.6116645451866791,0.2975172639437695,-1.1928839444189303,1.4434810082852318,44.14775486893439,5209.435074534258,0.926135359240709,0.6857884458806585,1.5478126895018172,0.8844384397541399,4.338768741246303,1.7826821016371894,0.7822313537147374,0.1075881335121065,4.4463568747584095,374.9987461087152,44249.85204082838,pre-void,1
1.7782118767252904,0.7790261555177462,2.7773975979328345,0.8661841593856208,0.6382637852238188,0.9961762500620911,0.888607007866508,5.3495321023065205,1.334911808179566,0.7896224144294682,-1.100002294223319,4.249529808083201,210.27476520283412,24812.422293934414,0.8679824800078244,0.6745547793970467,0.14059835786671782,0.8647049466727854,5.063745477924465,0.8760608101240476,0.7477146448003847,-2.8937743537919487,2.1699711241325166,90.56294007815389,10686.42692922216,0.837847657743117,0.6235306446651229,0.38368380219839815,0.4942962080458401,2.636364952704162,0.6257331710544967,0.24432874128849644,-1.1928839444189303,1.4434810082852318,46.20195616023408,5451.830826907621,0.9318364582503961,0.6928263424584649,1.4896288643215736,0.8497175569507646,4.338768741246303,1.7149385061891744,0.7220199265903758,0.1075881335121065,4.4463568747584095,347.0396614412221,40950.68005006421,pre-void,1
2.1677249544841635,1.1685392332766193,3.1669106756917076,0.878813384718905,0.6632849380531279,0.9291982361529407,0.5841011390361336,3.5530011235229324,1.0975351942844678,0.34117414062330864,-0.28993320895176955,3.2630679145711627,142.14085331777926,16772.62069149796,0.8854879847795797,0.7278979894415359,0.2648528099510122,0.6102889740880937,3.583540373661319,0.6652816267058973,0.3724526318934979,-1.9905789847645357,1.592961388896783,52.226757854228495,6162.757426798961,0.8696625205758548,0.7544284707364496,0.51330245465976,0.3370369641694735,2.3016911693199362,0.6140629651561067,0.11359391521657494,-0.8582101610347043,1.4434810082852318,44.494652370804566,5250.368979754938,0.9244779317894679,0.7333471969596148,1.2954102023469514,0.5883611801922614,3.178607760696761,1.4227636735248055,0.34616887835723065,0.39582495232038195,3.574432713017143,238.86226354281237,28185.74709805186,pre-void,1
2.5572380322430366,1.5580523110354925,3.5564237534505807,0.9057232459147041,0.7823168013626447,0.7627762129648963,0.2658236414277331,1.479456024616883,0.8077683822773511,0.07066220834190004,-0.13289836232791308,1.34655766228897,76.99379161002233,9085.267409982638,0.9085703804626057,0.7522171229140351,0.2565463820873806,0.4416843728250988,2.336805373672846,0.5107848190383355,0.1950850851979009,-0.9178740092800536,1.4189313643927925,30.786333500482964,3632.7873530569896,0.9002108951804333,0.8181363870941327,0.5518655733213761,0.1652832982739864,0.8552936720815678,0.5760852191348591,0.027318568688327563,0.0831407704270369,0.9384344425086047,39.16115320526771,4621.016078221591,0.944614781606857,0.8587938003856539,1.083356502244829,0.2675887880993934,1.1694142249422828,1.1159144548184026,0.07160375951650207,0.5909239589141297,1.7603381838564125,146.941278315773,17339.070841261204,pre-void,1
2.9467511100019097,1.9475653887943656,3.945936831209454,0.9086640389713772,0.7825519220059335,0.7693920787743924,0.2614636759719175,1.5074445341365084,0.812605331470037,0.06836325385274786,-0.15812480388922456,1.3493197302472837,77.91863611855638,9194.399061989647,0.8895355840982926,0.7626182362106312,0.2631963508019483,0.4589881135224615,2.336805373672846,0.5290958395511821,0.21067008835490802,-0.9178740092800536,1.4189313643927925,33.0332040767837,3897.918081060476,0.8986195864579151,0.8542291402126695,0.5756670985033348,0.18257679106117763,1.035411981340757,0.6039262313672465,0.033334284634196916,0.0831407704270369,1.1185527517677938,43.03777336614652,5078.457257205287,0.9433184866016137,0.8826380729922192,1.1094667858550755,0.2721767370326716,1.0918078488547494,1.1423645324927347,0.07408017618175206,0.6685303350016631,1.7603381838564125,153.9896135614866,18170.77440025541,pre-void,1
3.336264187760783,2.3370784665532387,4.335449908968327,0.920045862137803,0.7806275373916798,0.7256660318299322,0.27599445955383844,1.5074445341365084,0.7763788581976041,0.07617294170441537,-0.15812480388922456,1.3493197302472837,71.12616751183343,8392.887766396341,0.9137443636841678,0.795051735452142,0.3237205378009025,0.4868717014058566,2.3025218924799358,0.584670026787708,0.23704405362983358,-0.7435205505440895,1.5590013419358462,40.33700674642482,4759.766796078129,0.8978336823693568,0.8474799325993644,0.6815007611535076,0.28308114599695355,1.4724318353118606,0.7379554340688593,0.08013493521894854,0.16587397699190873,1.6383058123037693,64.26023027526752,7582.707172481568,0.948737388804818,0.8629408785448686,1.1769420699523385,0.3224728799887179,1.540091052495255,1.22032020156675,0.10398875832821805,0.6685303350016631,2.208621387496918,175.72340453352575,20735.361734956045,pre-void,1
3.725777265519656,2.726591544312112,4.7249629867272,0.8987283747398261,0.7424431932338235,0.6801556593549708,0.2802583850214878,1.5074445341365084,0.73563338921466,0.07854476237485251,-0.15812480388922456,1.3493197302472837,63.85646503263881,7535.062873851378,0.9102621832915269,0.7919375415661246,0.481108807370745,0.5670396671134817,2.7023382623932797,0.7436394748867684,0.3215339840801682,-0.7145372277330138,1.9878010346602657,65.25396089596451,7699.967385723813,0.9126672369638555,0.8202540201949482,0.9074553686239535,0.5028560767248483,1.9008512630678438,1.0374678211605128,0.25286423389910656,0.16587397699190873,2.0667252400597524,127.00805863333794,14986.950918733868,0.9351957416325113,0.8798735101500318,1.3744675950684062,0.5304097114379889,2.287177424377484,1.473260205082883,0.28133446198773066,0.6685303350016631,2.955707759379147,256.1184845619413,30221.981178309048,pre-void,1
4.115290343278529,3.116104622070985,5.114476064486073,0.9234185490689092,0.7486053188519687,0.6371479654442241,0.26066664395638445,1.5074445341365084,0.6884073133989781,0.0679470992714845,-0.15812480388922456,1.3493197302472837,55.92074623866146,6598.648056162055,0.9240765249008429,0.8078414967869708,0.5870694154655526,0.6065653919506954,3.0737465629171874,0.8441398422580031,0.3679215747123007,-0.7145372277330138,2.3592093351841736,84.08350464790922,9921.853548453288,0.9213920263965882,0.8260964205302123,1.0941263558414371,0.5384787834678091,1.9008512630678438,1.219455568190918,0.28995940024497163,0.16587397699190873,2.0667252400597524,175.47448216943647,20705.988895993505,0.950546151174963,0.8842210786321689,1.525209934490396,0.5893074248235821,2.485588441942167,1.6350989527305064,0.34728324095220187,0.6685303350016631,3.1541187769438306,315.4787330560071,37226.49050060883,pre-void,1
4.504803421037402,3.505617699829858,5.503989142244946,0.9108800877108689,0.7484190903814689,0.5429908517744858,0.3365177523596084,1.7278853856942056,0.6388139500386198,0.11324419765316274,-0.3785656554469219,1.3493197302472837,48.15382500614542,5682.15135072516,0.8945552830216013,0.7703476695854163,0.7162134716264232,0.6907508064160155,3.5320108588379813,0.995036890523939,0.47713667656437575,-0.7264246451770576,2.8055862136609235,116.83161279341881,13786.130309623419,0.9067819064568184,0.8561938953908591,1.2754839183835336,0.48548003651436106,2.0070856997364483,1.3647527585277113,0.23569086585398535,0.240620206747018,2.2477059064834664,219.78091084526167,25934.14747974088,0.9242017101783683,0.8755478381472915,1.7010538546517788,0.6059270185020763,2.7458556612517686,1.8057496416105114,0.3671475517508156,0.6685303350016631,3.414385996253432,384.7663486448259,45402.42914008945,pre-void,1
