,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.6953125,23.0,0.4,0.002903173375289564,7,0,3,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.193359375,14.0,0.2,0.03986955639366667,6,0,4,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,1.0,27.0,0.0,-0.0068883340818591595,5,0,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.375,18.0,0.4,0.036966383018377104,7,0,3,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.625,22.0,-0.4,-0.009791507457148723,3,0,7,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.193359375,14.0,-0.4,-0.04675789047552582,3,0,7,False
