,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.130859375,12.0,0.4,0.036673634329082556,7,0,3,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.921875,26.0,0.2,-0.000578876476488846,6,0,4,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.375,18.0,0.4,0.033986899295087816,7,0,3,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.10546875,11.0,-0.4,-0.0372525108055714,3,0,7,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.921875,26.0,0.0,-0.0026867350339947415,5,0,5,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.09765625,8.0,0.3,0.034565775771576664,6,1,3,False
