,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.322265625,17.0,-0.4,-0.04640606673192559,3,0,7,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,1.0,22.0,0.1,-0.025699175755617587,5,1,4,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.734375,19.0,-0.1,-0.027075569372387188,4,1,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.625,22.0,0.2,0.020706890976308002,6,0,4,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.4609375,12.0,0.2,0.019330497359538408,5,2,3,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.91015625,21.0,-0.1,-0.0013763936167695944,4,1,5,False
