Dataset,Model,Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Macro Precision (avg),Macro Precision (std),Macro Precision (avg:std),Macro Recall (avg),Macro Recall (std),Macro Recall (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std),Weighted Precision (avg),Weighted Precision (std),Weighted Precision (avg:std),Weighted Recall (avg),Weighted Recall (std),Weighted Recall (avg:std),Precision Pre-Void (avg),Precision Pre-Void (std),Precision Pre-Void (avg:std),Recall Pre-Void (avg),Recall Pre-Void (std),Recall Pre-Void (avg:std),F1-Score Pre-Void (avg),F1-Score Pre-Void (std),F1-Score Pre-Void (avg:std),Precision Void (avg),Precision Void (std),Precision Void (avg:std),Recall Void (avg),Recall Void (std),Recall Void (avg/std),F1-Score Void (avg),F1-Score Void (std),F1-Score Void (avg:std),Precision Post-Void (avg),Precision Post-Void (std),Precision Post-Void (avg:std),Recall Post-Void (avg),Recall Post-Void (std),Recall Post-Void (avg:std),F1-Score Post-Void (avg),F1-Score Post-Void (std),F1-Score Post-Void (avg:std)
2s_no,Random Forest,0.73883,0.05615,13.15898,0.73503,0.05895,12.46886,0.74896,0.05235,14.30553,0.7329,0.05723,12.8055,0.7371,0.0585,12.60112,0.74654,0.05219,14.30313,0.73883,0.05615,13.15898,0.75949,0.08078,9.40205,0.66194,0.12091,5.47461,0.69856,0.07864,8.8828,0.68664,0.05099,13.46637,0.75206,0.09401,8.00018,0.71522,0.06053,11.81562,0.80075,0.10184,7.86305,0.78469,0.07796,10.0653,0.79131,0.08372,9.4517
1s_0.8,XGBoost,0.73859,0.04476,16.50173,0.73309,0.04791,15.30177,0.74443,0.03312,22.47578,0.7407,0.05076,14.59206,0.73404,0.04887,15.01974,0.74747,0.03926,19.03802,0.73859,0.04476,16.50173,0.75641,0.08542,8.85561,0.71392,0.14537,4.911,0.7161,0.06434,11.12945,0.72224,0.06166,11.71292,0.67719,0.11353,5.9649,0.69508,0.08025,8.66111,0.75465,0.08043,9.38216,0.83101,0.05066,16.40267,0.7881,0.05018,15.70467
1s_no,XGBoost,0.7375,0.06691,11.02202,0.73347,0.07095,10.33714,0.73803,0.07041,10.48206,0.73643,0.06967,10.57014,0.73394,0.0696,10.54454,0.73844,0.07066,10.45028,0.7375,0.06691,11.02202,0.71936,0.06236,11.53496,0.6946,0.11458,6.06222,0.70513,0.08944,7.88427,0.71085,0.04617,15.39639,0.68458,0.12254,5.58641,0.69406,0.08325,8.33723,0.78388,0.10715,7.31596,0.83012,0.07608,10.91049,0.8012,0.06526,12.27748
2s_0.8,XGBoost,0.73742,0.0728,10.12955,0.73377,0.07453,9.84531,0.73765,0.06621,11.1415,0.7416,0.07739,9.582,0.73237,0.07555,9.6938,0.73884,0.07261,10.17615,0.73742,0.0728,10.12955,0.74029,0.02938,25.19869,0.71877,0.14018,5.12729,0.72332,0.08167,8.8563,0.73471,0.09468,7.75966,0.66594,0.11533,5.77401,0.6961,0.10278,6.77299,0.73797,0.08342,8.84592,0.84009,0.12119,6.9318,0.78188,0.08342,9.37328
2s_0.5,Random Forest,0.73707,0.05114,14.41189,0.7321,0.05261,13.91581,0.74881,0.05438,13.76956,0.73469,0.05433,13.52293,0.73381,0.05256,13.96116,0.74812,0.05371,13.9282,0.73707,0.05114,14.41189,0.74396,0.10745,6.92392,0.66267,0.15731,4.21258,0.68352,0.09537,7.16676,0.71526,0.06684,10.70052,0.72773,0.0929,7.83391,0.71569,0.04758,15.04255,0.78721,0.08287,9.49927,0.81366,0.05613,14.49685,0.7971,0.04995,15.95748
3s_0.5,XGBoost,0.73424,0.07602,9.65822,0.72848,0.07709,9.4502,0.73887,0.08347,8.85157,0.72918,0.07197,10.13127,0.73209,0.07591,9.64416,0.7408,0.07579,9.77457,0.73424,0.07602,9.65822,0.72249,0.13716,5.2677,0.65374,0.09225,7.08691,0.68281,0.101,6.76027,0.72521,0.0303,23.93204,0.69519,0.09922,7.00655,0.70691,0.05823,12.13929,0.76892,0.11688,6.57857,0.83862,0.09803,8.5545,0.79571,0.08139,9.7765
1s_0.5,Random Forest,0.73358,0.05556,13.20397,0.72754,0.0556,13.08547,0.73502,0.04907,14.9804,0.73534,0.05832,12.60986,0.73026,0.05933,12.30864,0.7415,0.05751,12.89326,0.73358,0.05556,13.20397,0.70741,0.07867,8.99156,0.6973,0.12224,5.70416,0.6897,0.04696,14.68621,0.72871,0.06406,11.37581,0.67073,0.10881,6.16437,0.69457,0.07702,9.01862,0.76895,0.11051,6.95826,0.83801,0.0715,11.71981,0.79836,0.07643,10.44543
1s_0.8,Random Forest,0.73222,0.04593,15.94149,0.72323,0.04836,14.95445,0.73689,0.03965,18.58257,0.73315,0.05161,14.20639,0.72665,0.05183,14.02033,0.74402,0.04843,15.36334,0.73222,0.04593,15.94149,0.71353,0.10193,7.00026,0.70823,0.13788,5.13663,0.69165,0.04887,14.1533,0.73468,0.06079,12.08505,0.67066,0.15008,4.46864,0.69463,0.10594,6.55671,0.76246,0.09614,7.93041,0.82056,0.07403,11.08356,0.7834,0.04475,17.50511
5s_0.8,Random Forest,0.73176,0.04368,16.75374,0.71797,0.05346,13.4305,0.74116,0.06158,12.03495,0.72239,0.05522,13.08135,0.72475,0.0464,15.62,0.74304,0.05659,13.12968,0.73176,0.04368,16.75374,0.72606,0.12617,5.75475,0.63669,0.16797,3.79045,0.66227,0.10584,6.25705,0.72982,0.04543,16.06608,0.73471,0.09978,7.36319,0.72783,0.05289,13.76139,0.7676,0.12176,6.3044,0.79576,0.16958,4.69259,0.76381,0.08684,8.7952
4s_no,Random Forest,0.73073,0.02761,26.46234,0.72287,0.0312,23.1693,0.73303,0.0259,28.30166,0.72288,0.03323,21.75121,0.72694,0.03,24.22881,0.73235,0.02813,26.03367,0.73073,0.02761,26.46234,0.72865,0.06047,12.04978,0.62717,0.08921,7.03031,0.66897,0.05274,12.68419,0.69753,0.04034,17.29113,0.73406,0.07388,9.93546,0.71237,0.03561,20.00308,0.77293,0.07015,11.01854,0.8074,0.13823,5.84093,0.78726,0.09994,7.87718
