Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
2s_no,XGBoost,SMOTE,0.65463,0.24536,2.66807,0.6969,0.28485,2.44658,0.73897,0.14055,5.25758,0.69986,0.16355,4.27928,0.73304,0.15298,4.79179
3s_0.5,Random Forest,SMOTETomek,0.65406,0.26761,2.44413,0.68278,0.31643,2.1578,0.74496,0.16299,4.57058,0.70143,0.18532,3.78489,0.73604,0.17588,4.1849
4s_0.5,XGBoost,SMOTE,0.65377,0.24988,2.61631,0.69329,0.27184,2.55037,0.7269,0.17031,4.26806,0.68446,0.18794,3.64198,0.72512,0.17807,4.07218
3s_0.8,Random Forest,Baseline (none),0.65362,0.27173,2.40542,0.66222,0.31898,2.07603,0.76514,0.15077,5.07486,0.71535,0.17513,4.08459,0.75152,0.17188,4.37227
4s_0.8,Random Forest,SMOTE,0.65356,0.26492,2.467,0.66421,0.30702,2.16339,0.75232,0.16059,4.68468,0.69651,0.182,3.82692,0.74249,0.1726,4.3019
4s_0.5,XGBoost,Baseline (none),0.65327,0.24977,2.61543,0.68754,0.28525,2.41034,0.73529,0.16627,4.4222,0.69043,0.18064,3.82208,0.73285,0.17305,4.23487
3s_0.8,Random Forest,SMOTETomek,0.65152,0.27326,2.38425,0.6643,0.31339,2.11972,0.7608,0.1479,5.14406,0.70991,0.17181,4.13186,0.74865,0.16383,4.56973
1s_0.5,XGBoost,Baseline (none),0.65125,0.26777,2.43217,0.67386,0.29989,2.24699,0.75891,0.1309,5.79777,0.70968,0.16463,4.31082,0.75213,0.13745,5.4719
1s_0.5,XGBoost,SMOTE,0.65045,0.26817,2.42555,0.68447,0.3005,2.27781,0.74964,0.13092,5.72606,0.70354,0.16588,4.24118,0.74589,0.13636,5.47003
3s_0.8,Random Forest,SMOTE,0.64911,0.27102,2.3951,0.66295,0.31587,2.09877,0.75908,0.14147,5.36554,0.70461,0.16965,4.15334,0.74773,0.15516,4.81917
2s_no,Random Forest,SMOTE,0.6487,0.2627,2.46931,0.70144,0.31697,2.21293,0.75367,0.13981,5.39052,0.70962,0.16584,4.27892,0.74324,0.15876,4.68163
5s_0.8,Random Forest,SMOTE,0.64693,0.27552,2.348,0.65589,0.31974,2.05133,0.74223,0.17678,4.19858,0.69434,0.1932,3.59384,0.73273,0.19217,3.81292
1s_0.8,XGBoost,SMOTETomek,0.64681,0.26247,2.46433,0.6743,0.29478,2.28744,0.74971,0.13308,5.63334,0.70007,0.16447,4.25643,0.74351,0.13866,5.36231
1s_0.5,XGBoost,SMOTETomek,0.64382,0.27423,2.34774,0.67989,0.30364,2.23914,0.7506,0.13351,5.62195,0.70172,0.16881,4.15684,0.74358,0.14347,5.1829
3s_0.5,Random Forest,Baseline (none),0.6421,0.26942,2.38324,0.64701,0.31752,2.03767,0.75436,0.14852,5.07912,0.70405,0.1763,3.99357,0.74369,0.16551,4.49322
1s_0.8,XGBoost,SMOTE,0.64186,0.25997,2.46899,0.65252,0.2817,2.31635,0.74456,0.13824,5.3858,0.69815,0.16735,4.17173,0.74033,0.14372,5.15131
1s_0.8,XGBoost,TomekLinks,0.64142,0.27493,2.33301,0.66509,0.30272,2.19707,0.7534,0.12851,5.8626,0.70218,0.16696,4.20581,0.74644,0.13624,5.47888
2s_0.5,Random Forest,TomekLinks,0.63959,0.2552,2.50622,0.66922,0.29936,2.2355,0.74753,0.13269,5.63365,0.69896,0.15621,4.47452,0.73696,0.1499,4.91634
4s_0.8,Random Forest,Baseline (none),0.63662,0.27155,2.34443,0.64207,0.31635,2.02963,0.74514,0.16385,4.54781,0.69122,0.18581,3.72008,0.73436,0.18223,4.02983
1s_0.8,XGBoost,Baseline (none),0.63524,0.27025,2.35051,0.65085,0.30281,2.14933,0.74404,0.13589,5.47524,0.69525,0.17022,4.08438,0.73816,0.14332,5.15037
3s_0.5,Decision Tree,SMOTE,0.62574,0.18484,3.3854,0.67385,0.23054,2.92292,0.67256,0.14293,4.70553,0.64253,0.15773,4.07352,0.67827,0.13636,4.97418
1s_no,Random Forest,Baseline (none),0.62522,0.28112,2.22407,0.63311,0.32181,1.96735,0.7605,0.13081,5.81372,0.70284,0.16521,4.2542,0.74587,0.1518,4.91339
2s_no,Decision Tree,Baseline (none),0.6247,0.22962,2.72059,0.67758,0.25395,2.6682,0.71073,0.13984,5.08252,0.67625,0.15478,4.3692,0.70729,0.1562,4.52824
2s_0.5,Random Forest,Baseline (none),0.62394,0.27816,2.2431,0.62373,0.31524,1.97858,0.76107,0.13405,5.67734,0.70374,0.16416,4.28678,0.74569,0.15551,4.79502
2s_0.8,Random Forest,TomekLinks,0.62138,0.29534,2.10393,0.62563,0.3362,1.86088,0.75799,0.14005,5.4121,0.69672,0.17814,3.91116,0.74165,0.16177,4.58461
1s_no,Random Forest,SMOTETomek,0.62114,0.29661,2.09415,0.64182,0.33685,1.90536,0.75762,0.13942,5.43395,0.7,0.17676,3.96012,0.74347,0.15916,4.67109
4s_0.5,Decision Tree,Baseline (none),0.6195,0.24158,2.56435,0.66703,0.27136,2.45813,0.7049,0.14844,4.74882,0.65939,0.16647,3.96109,0.70538,0.15151,4.65563
3s_no,Decision Tree,Baseline (none),0.61834,0.201,3.0764,0.67658,0.26799,2.52468,0.68547,0.14948,4.58582,0.6632,0.15601,4.25091,0.68798,0.15641,4.39857
3s_no,Decision Tree,TomekLinks,0.61832,0.24074,2.56837,0.69652,0.28742,2.42333,0.69309,0.14418,4.80711,0.65882,0.15809,4.16738,0.68815,0.1577,4.36379
1s_0.5,Random Forest,SMOTE,0.61693,0.2931,2.10488,0.63053,0.34088,1.8497,0.75957,0.128,5.93434,0.69544,0.17009,4.08874,0.74414,0.14534,5.11998
3s_0.8,Decision Tree,TomekLinks,0.6164,0.19712,3.12709,0.66021,0.22744,2.90286,0.67541,0.13553,4.98352,0.64524,0.14274,4.52042,0.67692,0.13898,4.87076
1s_no,Random Forest,SMOTE,0.61486,0.2927,2.10064,0.63295,0.33231,1.9047,0.75517,0.13275,5.6885,0.69537,0.16997,4.09114,0.74053,0.15226,4.86359
1s_no,Random Forest,TomekLinks,0.61471,0.29226,2.10329,0.63378,0.34886,1.81671,0.75353,0.13776,5.46972,0.69157,0.17102,4.04373,0.73771,0.15455,4.77338
5s_no,Decision Tree,Baseline (none),0.61325,0.24405,2.51281,0.67924,0.29038,2.33916,0.69807,0.15278,4.56911,0.65337,0.16961,3.85226,0.69088,0.17128,4.03371
2s_0.8,Decision Tree,TomekLinks,0.61084,0.23961,2.54935,0.63795,0.27725,2.30102,0.70765,0.14004,5.0534,0.6647,0.15421,4.31052,0.70425,0.14711,4.78741
