Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
5s_no,XGBoost,SMOTE,0.75952,0.10907,6.96368,0.82216,0.17301,4.75194,0.79807,0.09658,8.26322,0.78866,0.09777,8.0665,0.80186,0.09466,8.47065
5s_0.5,XGBoost,SMOTE,0.74287,0.09403,7.90033,0.77029,0.14262,5.40094,0.78843,0.08319,9.47719,0.77749,0.08132,9.56112,0.78954,0.08583,9.1986
5s_no,XGBoost,TomekLinks,0.73294,0.11713,6.25765,0.80882,0.16854,4.79894,0.7727,0.1019,7.58274,0.76136,0.10371,7.34125,0.77734,0.10019,7.75843
5s_no,XGBoost,SMOTETomek,0.73045,0.13086,5.58185,0.78279,0.15323,5.10873,0.77666,0.09957,7.80032,0.76426,0.10516,7.26766,0.78163,0.09615,8.12887
3s_no,XGBoost,SMOTETomek,0.73012,0.09479,7.7023,0.75223,0.10842,6.93785,0.78148,0.06678,11.70146,0.76894,0.07121,10.79789,0.78401,0.06576,11.9228
5s_0.5,XGBoost,SMOTETomek,0.72995,0.11705,6.23633,0.73909,0.16564,4.46212,0.78618,0.09594,8.19411,0.77282,0.09613,8.03914,0.78548,0.10086,7.78798
4s_no,XGBoost,SMOTETomek,0.71886,0.15601,4.60765,0.75576,0.17719,4.26529,0.77682,0.10065,7.71788,0.76072,0.11467,6.63388,0.78097,0.09725,8.03056
5s_no,Random Forest,SMOTETomek,0.71864,0.10783,6.66434,0.79295,0.18657,4.25026,0.75988,0.09641,7.88165,0.74813,0.09553,7.83165,0.76307,0.09669,7.89154
4s_no,XGBoost,Baseline (none),0.71856,0.11879,6.04921,0.72687,0.14368,5.059,0.77733,0.09848,7.89342,0.76053,0.10179,7.47135,0.77937,0.09577,8.13822
3s_0.5,Random Forest,SMOTETomek,0.71506,0.07161,9.98502,0.69898,0.13387,5.22148,0.7754,0.05905,13.13104,0.76079,0.05798,13.12137,0.77432,0.05963,12.9851
5s_0.8,XGBoost,SMOTETomek,0.71467,0.12658,5.64602,0.72007,0.16164,4.45469,0.7652,0.0774,9.88632,0.75256,0.08828,8.5245,0.76576,0.07694,9.95265
3s_0.5,Random Forest,SMOTE,0.71345,0.06178,11.54848,0.70328,0.1082,6.49958,0.77143,0.04996,15.4418,0.75768,0.04832,15.68132,0.77129,0.05035,15.3174
5s_0.8,Random Forest,TomekLinks,0.71242,0.10853,6.56434,0.68812,0.13598,5.06039,0.76711,0.08082,9.49168,0.75395,0.08496,8.87446,0.76649,0.08062,9.50691
5s_no,Random Forest,SMOTE,0.71166,0.11361,6.2639,0.76137,0.1822,4.17875,0.7569,0.10783,7.0192,0.74549,0.10627,7.01496,0.76048,0.10834,7.01972
2s_no,XGBoost,TomekLinks,0.70981,0.11537,6.15221,0.73187,0.15513,4.71768,0.77317,0.06881,11.23567,0.75688,0.07882,9.6032,0.77454,0.06924,11.1857
4s_no,Random Forest,TomekLinks,0.70866,0.0851,8.3275,0.7614,0.1321,5.76364,0.75074,0.08717,8.61193,0.73748,0.08425,8.75316,0.75409,0.08486,8.88657
5s_0.5,XGBoost,TomekLinks,0.70805,0.12765,5.54681,0.70804,0.1836,3.85646,0.77621,0.09277,8.36667,0.75862,0.0959,7.91086,0.77369,0.09919,7.80021
5s_0.8,Random Forest,SMOTETomek,0.70758,0.11758,6.0181,0.68503,0.15199,4.5072,0.76538,0.08306,9.21437,0.7516,0.08913,8.43259,0.76431,0.08384,9.11607
4s_0.8,Random Forest,SMOTE,0.70566,0.09903,7.1259,0.67853,0.14021,4.83946,0.76762,0.07287,10.53459,0.75213,0.07588,9.91228,0.76613,0.07317,10.47078
3s_no,Random Forest,SMOTETomek,0.70504,0.12692,5.55514,0.72376,0.17571,4.11912,0.76826,0.08057,9.53473,0.75052,0.08738,8.58888,0.76878,0.08131,9.45528
5s_0.8,Random Forest,Baseline (none),0.70499,0.14121,4.99243,0.67743,0.17584,3.85262,0.76628,0.0951,8.05738,0.75152,0.10486,7.16717,0.76374,0.09847,7.75631
3s_0.5,Random Forest,TomekLinks,0.70462,0.09061,7.77607,0.69336,0.14964,4.63368,0.76917,0.05934,12.96216,0.75337,0.06431,11.71499,0.76809,0.061,12.59229
3s_0.5,XGBoost,TomekLinks,0.70439,0.10858,6.48718,0.69648,0.1459,4.77359,0.77067,0.06147,12.53815,0.75467,0.07221,10.45139,0.77031,0.06203,12.41783
5s_0.5,Random Forest,SMOTETomek,0.70363,0.12085,5.82245,0.70585,0.15982,4.41654,0.76009,0.1089,6.9799,0.74493,0.10542,7.06603,0.75939,0.11145,6.8136
3s_no,Random Forest,TomekLinks,0.70338,0.13848,5.07915,0.72977,0.19791,3.68736,0.76355,0.09907,7.70695,0.74626,0.1051,7.1003,0.76444,0.0996,7.67487
3s_no,XGBoost,TomekLinks,0.70196,0.15781,4.44815,0.71393,0.19277,3.70344,0.76995,0.08728,8.82149,0.75212,0.10591,7.1017,0.77133,0.08683,8.88276
5s_no,Random Forest,TomekLinks,0.70174,0.12818,5.47445,0.7825,0.19486,4.01569,0.73561,0.13021,5.64956,0.72687,0.12803,5.67743,0.74066,0.13073,5.66539
4s_no,XGBoost,TomekLinks,0.70153,0.14034,4.99858,0.72804,0.15913,4.57514,0.76277,0.09022,8.45495,0.74545,0.10308,7.23161,0.76683,0.08612,8.90404
5s_0.5,Random Forest,TomekLinks,0.70138,0.13594,5.15956,0.72673,0.18827,3.86009,0.75528,0.11901,6.34631,0.74247,0.1175,6.31906,0.75538,0.12298,6.14241
5s_0.5,XGBoost,Baseline (none),0.7005,0.10813,6.47832,0.69287,0.15265,4.53886,0.76997,0.08357,9.21298,0.75208,0.08292,9.06946,0.76817,0.08757,8.77163
5s_no,XGBoost,Baseline (none),0.69823,0.17387,4.0157,0.71053,0.19749,3.59774,0.76488,0.12015,6.36611,0.74744,0.13212,5.65749,0.76821,0.11857,6.47874
2s_no,XGBoost,SMOTETomek,0.69688,0.13746,5.06972,0.70903,0.19634,3.61128,0.77182,0.07216,10.69608,0.75073,0.08901,8.43415,0.77064,0.07556,10.19837
4s_0.8,Random Forest,SMOTETomek,0.69624,0.11272,6.17697,0.67272,0.14611,4.60421,0.76092,0.07312,10.40656,0.74505,0.08081,9.2193,0.75996,0.07298,10.41263
4s_0.8,Random Forest,Baseline (none),0.69577,0.1168,5.95683,0.66675,0.15608,4.27172,0.76252,0.08407,9.06959,0.74644,0.08996,8.29712,0.76068,0.08509,8.93932
4s_0.8,XGBoost,SMOTETomek,0.69545,0.16241,4.28198,0.7147,0.2046,3.4932,0.75887,0.08368,9.06861,0.7412,0.10515,7.0493,0.75725,0.08811,8.59481
5s_0.8,XGBoost,TomekLinks,0.69493,0.15228,4.5634,0.69849,0.19479,3.58584,0.75464,0.08587,8.78858,0.73843,0.10247,7.20659,0.75383,0.08758,8.60745
4s_0.8,XGBoost,TomekLinks,0.69323,0.13816,5.01747,0.6995,0.18737,3.73332,0.75617,0.07914,9.55451,0.73929,0.09283,7.96383,0.75493,0.08002,9.43478
3s_0.8,Random Forest,TomekLinks,0.693,0.09041,7.66465,0.64728,0.15226,4.25109,0.76775,0.07314,10.49746,0.74889,0.07209,10.38761,0.76355,0.0747,10.22108
