,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.013671875,4.0,-0.6,-0.05211740277836593,2,0,8,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.00390625,0.0,-0.9,-0.08073258072192632,0,1,9,True
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.00390625,0.0,-0.9,-0.07715363768580674,0,1,9,True
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.21875,6.0,-0.3,-0.0286151779435604,2,3,5,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.15625,5.0,-0.5,-0.025036234907440814,1,3,6,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.91015625,21.0,0.1,0.003578943036119592,5,1,4,False
