,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.546875,13.0,-0.4,-0.011633942433278293,2,2,6,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.30078125,13.0,-0.3,-0.030515390371108404,3,1,6,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.15625,3.0,-0.4,-0.021664526792378874,1,4,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.4921875,20.0,0.0,-0.018881447937830108,5,0,5,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.8125,12.0,0.1,-0.010030584359100581,4,3,3,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.8203125,20.0,-0.1,0.008850863578729528,4,1,5,False
