,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.09375,2.0,-0.4,-0.037685786435786434,1,4,5,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.15625,5.0,-0.3,-0.045720404595404614,2,3,5,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.046875,2.0,-0.5,-0.05438908313908315,1,3,6,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.734375,19.0,-0.1,-0.008034618159618178,4,1,5,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.8125,6.0,-0.1,-0.016703296703296715,2,5,3,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.734375,19.0,-0.1,-0.008668678543678537,4,1,5,False
