,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.0546875,6.0,-0.5,-0.037307786335119074,2,1,7,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.15625,3.0,-0.4,-0.030115815899072806,1,4,5,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.02734375,6.0,-0.6,-0.0460702316678982,2,0,8,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.4921875,20.0,0.2,0.007191970436046269,6,0,4,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.6953125,23.0,-0.2,-0.008762445332779123,4,0,6,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.4921875,20.0,0.0,-0.015954415768825392,5,0,5,False
