exp_id,three_class_label,two_class_label,two_class_pred,two_class_pred_num,two_class_pred_prob,three_class_pred
14,post-void,non-void,non-void,0,0.21112488,void
14,post-void,non-void,void,1,0.5526208,void
14,post-void,non-void,non-void,0,0.11700012,void
14,post-void,non-void,non-void,0,0.17349364,void
14,post-void,non-void,non-void,0,0.13774078,void
14,post-void,non-void,non-void,0,0.4827789,void
14,post-void,non-void,void,1,0.6460488,void
14,post-void,non-void,non-void,0,0.28182644,void
14,post-void,non-void,non-void,0,0.054974068,void
14,post-void,non-void,non-void,0,0.22223833,void
14,post-void,non-void,non-void,0,0.23353195,void
14,post-void,non-void,non-void,0,0.33044288,void
14,post-void,non-void,non-void,0,0.3087277,void
14,post-void,non-void,void,1,0.5513053,void
14,post-void,non-void,void,1,0.69921535,void
14,pre-void,non-void,void,1,0.75060534,void
14,pre-void,non-void,non-void,0,0.38462675,void
14,pre-void,non-void,void,1,0.6546765,void
14,pre-void,non-void,void,1,0.67863584,void
20,pre-void,non-void,non-void,0,0.059101634,pre-void
20,pre-void,non-void,non-void,0,0.08844402,pre-void
20,pre-void,non-void,non-void,0,0.34673917,pre-void
20,pre-void,non-void,non-void,0,0.18906134,pre-void
20,pre-void,non-void,non-void,0,0.19475323,pre-void
20,pre-void,non-void,void,1,0.64666814,pre-void
20,pre-void,void,non-void,0,0.24732596,pre-void
20,pre-void,void,non-void,0,0.16758163,pre-void
20,pre-void,void,non-void,0,0.16478106,void
20,pre-void,void,void,1,0.81444883,void
20,pre-void,void,void,1,0.8156513,void
20,pre-void,void,void,1,0.82213634,void
20,pre-void,void,void,1,0.62301564,void
20,pre-void,void,non-void,0,0.3705966,void
20,pre-void,void,non-void,0,0.39499334,void
20,pre-void,void,void,1,0.8810641,void
20,pre-void,void,void,1,0.79638755,void
20,pre-void,void,void,1,0.7870487,void
20,pre-void,void,void,1,0.7533831,void
20,pre-void,void,non-void,0,0.48621595,void
20,pre-void,void,non-void,0,0.45504367,void
20,pre-void,non-void,non-void,0,0.46677512,void
20,pre-void,non-void,void,1,0.5431929,void
20,pre-void,non-void,void,1,0.9302235,void
20,void,non-void,void,1,0.74558204,void
20,void,non-void,void,1,0.6347483,void
20,void,non-void,void,1,0.63095707,void
20,void,non-void,void,1,0.8897925,void
20,void,non-void,non-void,0,0.017982513,void
20,void,non-void,non-void,0,0.35869983,void
25,void,non-void,non-void,0,0.017703723,pre-void
25,void,non-void,non-void,0,0.108137734,pre-void
25,void,non-void,non-void,0,0.0074913767,pre-void
25,void,non-void,non-void,0,0.0061989445,pre-void
25,void,non-void,non-void,0,0.028196583,pre-void
25,void,non-void,non-void,0,0.007588968,pre-void
25,void,non-void,non-void,0,0.023693074,pre-void
25,void,non-void,non-void,0,0.06285687,pre-void
25,void,non-void,non-void,0,0.03384215,pre-void
25,void,non-void,non-void,0,0.13250998,pre-void
25,void,non-void,non-void,0,0.06500605,pre-void
25,void,non-void,non-void,0,0.15889014,pre-void
25,void,non-void,void,1,0.66344416,pre-void
25,void,non-void,non-void,0,0.37704512,pre-void
25,void,non-void,non-void,0,0.22060864,pre-void
25,void,non-void,void,1,0.61426705,pre-void
