Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
5s_0.8,Random Forest,SMOTETomek,0.64413,0.12165,5.29482,0.64325,0.17986,3.5764,0.70343,0.12559,5.60113,0.68703,0.11805,5.81968,0.70161,0.12891,5.44273
1s_no,XGBoost,Baseline (none),0.55915,0.07981,7.00641,0.55252,0.12378,4.46382,0.66969,0.09982,6.70883,0.64116,0.07835,8.18293,0.66847,0.10583,6.31666
1s_no,XGBoost,SMOTE,0.59104,0.07424,7.96084,0.60456,0.11795,5.12557,0.67614,0.1021,6.62233,0.65521,0.08419,7.78216,0.67795,0.10468,6.47669
1s_no,XGBoost,TomekLinks,0.59452,0.076,7.82239,0.62434,0.09906,6.30276,0.67503,0.08998,7.50203,0.65461,0.07235,9.04724,0.67895,0.09151,7.41979
1s_no,XGBoost,SMOTETomek,0.5997,0.06402,9.36697,0.60871,0.0967,6.29463,0.68442,0.09352,7.31874,0.66294,0.07544,8.78719,0.68616,0.09544,7.18926
1s_0.5,XGBoost,Baseline (none),0.56225,0.11383,4.93953,0.5421,0.16027,3.38246,0.6671,0.11947,5.58367,0.64283,0.10881,5.90777,0.66224,0.12348,5.36318
1s_0.5,XGBoost,SMOTE,0.5827,0.12029,4.84394,0.59627,0.17758,3.35784,0.66791,0.1175,5.68447,0.64848,0.11013,5.88816,0.66655,0.12105,5.5064
1s_0.5,XGBoost,TomekLinks,0.58474,0.11174,5.23308,0.59066,0.16796,3.51673,0.6738,0.10854,6.20781,0.65345,0.10131,6.45,0.67196,0.11269,5.96309
1s_0.5,XGBoost,SMOTETomek,0.58598,0.11034,5.31061,0.59663,0.16129,3.69901,0.6703,0.11237,5.96516,0.65045,0.1034,6.29058,0.66978,0.11463,5.84301
1s_0.8,XGBoost,Baseline (none),0.53916,0.09348,5.76776,0.50717,0.1143,4.43734,0.6614,0.10024,6.59839,0.62908,0.07886,7.97696,0.65619,0.10454,6.27702
1s_0.8,XGBoost,SMOTE,0.59434,0.08648,6.87246,0.59389,0.10457,5.6795,0.68126,0.10013,6.80381,0.65808,0.08013,8.2127,0.68056,0.10266,6.62939
1s_0.8,XGBoost,TomekLinks,0.55643,0.08391,6.6315,0.53452,0.10678,5.00591,0.66591,0.09928,6.70739,0.6379,0.07817,8.16013,0.6626,0.10312,6.42547
1s_0.8,XGBoost,SMOTETomek,0.57312,0.09002,6.36651,0.56525,0.11126,5.08067,0.6685,0.10308,6.48521,0.64277,0.08154,7.88268,0.66652,0.10555,6.31453
2s_no,XGBoost,Baseline (none),0.57063,0.12681,4.49986,0.54092,0.15465,3.49781,0.68884,0.10407,6.61873,0.65612,0.09541,6.87683,0.68326,0.10702,6.38432
2s_no,XGBoost,SMOTE,0.59136,0.10366,5.70461,0.58157,0.13414,4.33561,0.68816,0.0953,7.22109,0.66221,0.08494,7.79608,0.68463,0.0991,6.90852
2s_no,XGBoost,TomekLinks,0.60425,0.13341,4.52928,0.6127,0.1511,4.05486,0.69399,0.10298,6.73901,0.67036,0.10015,6.69383,0.69331,0.10714,6.47114
2s_no,XGBoost,SMOTETomek,0.60659,0.1229,4.93546,0.59903,0.1574,3.80585,0.70481,0.09252,7.6179,0.6762,0.08435,8.01634,0.70154,0.09492,7.39065
2s_0.5,XGBoost,Baseline (none),0.57642,0.0901,6.39766,0.56571,0.15159,3.73184,0.67908,0.10328,6.57539,0.65404,0.08929,7.32499,0.67614,0.10757,6.28561
2s_0.5,XGBoost,SMOTE,0.60794,0.07984,7.61428,0.61451,0.13213,4.65076,0.69204,0.0998,6.93397,0.67075,0.0847,7.91913,0.69233,0.10176,6.80325
2s_0.5,XGBoost,TomekLinks,0.61719,0.07282,8.47514,0.6388,0.1279,4.9945,0.69432,0.09013,7.70369,0.67518,0.07504,8.99705,0.69607,0.09203,7.56347
2s_0.5,XGBoost,SMOTETomek,0.60249,0.0851,7.08002,0.60685,0.11972,5.06895,0.69,0.09391,7.34711,0.66742,0.08085,8.25481,0.69103,0.09491,7.28096
2s_0.8,XGBoost,Baseline (none),0.57597,0.09721,5.9251,0.55499,0.13057,4.25038,0.6772,0.09519,7.11394,0.65123,0.07872,8.2726,0.6726,0.10069,6.67978
2s_0.8,XGBoost,SMOTE,0.59798,0.07786,7.6805,0.5874,0.11417,5.14477,0.68368,0.09178,7.44891,0.66201,0.0723,9.15701,0.68065,0.0958,7.10485
2s_0.8,XGBoost,TomekLinks,0.58107,0.07897,7.35804,0.55344,0.11037,5.01443,0.67872,0.09526,7.12459,0.65374,0.07432,8.79671,0.67393,0.09895,6.81059
2s_0.8,XGBoost,SMOTETomek,0.58123,0.08663,6.7095,0.57139,0.1283,4.45352,0.67525,0.08999,7.50322,0.6508,0.07267,8.95596,0.67118,0.09564,7.01799
3s_no,XGBoost,Baseline (none),0.60847,0.1057,5.75644,0.60112,0.15758,3.81465,0.69445,0.12092,5.7428,0.67266,0.10912,6.16411,0.69007,0.12623,5.46669
3s_no,XGBoost,SMOTE,0.62772,0.10613,5.91485,0.65215,0.18054,3.61229,0.69399,0.12186,5.69512,0.67735,0.11115,6.09383,0.69022,0.12774,5.40315
3s_no,XGBoost,TomekLinks,0.63465,0.09782,6.48781,0.66179,0.15442,4.28561,0.70141,0.10866,6.45537,0.6839,0.0975,7.01406,0.70164,0.1111,6.31532
3s_no,XGBoost,SMOTETomek,0.64599,0.09627,6.70991,0.67917,0.18082,3.75597,0.70937,0.11044,6.42313,0.69252,0.10077,6.87201,0.70697,0.11551,6.12036
3s_0.5,XGBoost,Baseline (none),0.57698,0.09434,6.11579,0.57064,0.16195,3.52357,0.66709,0.10841,6.15336,0.64719,0.09535,6.78745,0.66187,0.11391,5.8104
3s_0.5,XGBoost,SMOTE,0.59641,0.07607,7.84002,0.60971,0.14158,4.30658,0.66896,0.09885,6.76771,0.65368,0.08492,7.69795,0.66847,0.10117,6.60723
