Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
1s_no,Decision Tree,Baseline (none),0.51151,0.06319,8.09472,0.50082,0.11152,4.49095,0.6205,0.06194,10.0185,0.59982,0.05884,10.19429,0.61736,0.06866,8.99194
4s_0.8,Decision Tree,Baseline (none),0.5058,0.05019,10.07703,0.48342,0.09131,5.29436,0.60105,0.04759,12.63082,0.58384,0.04191,13.93115,0.59633,0.05486,10.87046
3s_0.8,Decision Tree,Baseline (none),0.5043,0.08298,6.07746,0.48596,0.11036,4.40353,0.60986,0.02338,26.08471,0.58714,0.03157,18.59548,0.60571,0.02799,21.64065
1s_0.5,Decision Tree,TomekLinks,0.50282,0.02121,23.70274,0.4737,0.02053,23.07776,0.62096,0.03307,18.77554,0.59669,0.02018,29.5651,0.61699,0.03544,17.41129
5s_0.5,Decision Tree,Baseline (none),0.50114,0.06791,7.37924,0.48234,0.09768,4.93786,0.6017,0.0412,14.60419,0.58414,0.04685,12.46901,0.59659,0.04743,12.5793
3s_0.5,Decision Tree,SMOTETomek,0.49871,0.04048,12.32052,0.50402,0.10262,4.91129,0.58471,0.0428,13.66014,0.56893,0.0349,16.30039,0.58232,0.04833,12.04831
1s_0.8,Decision Tree,TomekLinks,0.49778,0.03937,12.6434,0.49079,0.06625,7.4077,0.60299,0.05772,10.44619,0.5793,0.04191,13.82296,0.60171,0.06334,9.50013
5s_0.8,Decision Tree,SMOTETomek,0.49765,0.02904,17.13393,0.48747,0.02786,17.49791,0.57427,0.04018,14.29374,0.56117,0.02949,19.02793,0.57437,0.04205,13.65868
1s_0.8,Decision Tree,Baseline (none),0.49615,0.03668,13.52463,0.48098,0.06233,7.71661,0.60746,0.05863,10.36175,0.58165,0.03747,15.52175,0.60516,0.06306,9.59604
4s_0.5,Decision Tree,SMOTETomek,0.49526,0.06731,7.35763,0.48908,0.04047,12.08584,0.58442,0.02429,24.05842,0.56958,0.034,16.75459,0.58549,0.02241,26.12177
4s_0.5,Decision Tree,SMOTE,0.49324,0.05265,9.36869,0.49012,0.10976,4.46551,0.58736,0.04572,12.84644,0.57081,0.04173,13.6791,0.58445,0.05367,10.88954
2s_0.5,Decision Tree,TomekLinks,0.49277,0.06958,7.08167,0.48778,0.1199,4.0681,0.60342,0.04749,12.70515,0.58169,0.04761,12.21676,0.59999,0.05588,10.73617
4s_0.5,Decision Tree,TomekLinks,0.4865,0.04599,10.57789,0.47616,0.05629,8.45961,0.58195,0.03529,16.49269,0.56494,0.03156,17.90194,0.58088,0.03814,15.22825
2s_0.8,Decision Tree,TomekLinks,0.48628,0.08406,5.78469,0.47078,0.12272,3.83626,0.59797,0.07787,7.67873,0.57456,0.07307,7.86366,0.59104,0.08772,6.73756
3s_0.5,Decision Tree,TomekLinks,0.476,0.08737,5.44832,0.49147,0.13588,3.61685,0.56213,0.05354,10.49841,0.54829,0.05793,9.46413,0.56074,0.05371,10.44039
5s_0.5,Decision Tree,TomekLinks,0.46488,0.05494,8.46133,0.46607,0.12516,3.7239,0.55961,0.03624,15.44205,0.54228,0.03187,17.01314,0.55339,0.03344,16.54681
5s_0.8,Decision Tree,Baseline (none),0.45833,0.04112,11.14515,0.45347,0.05649,8.02815,0.53646,0.06372,8.41857,0.52282,0.05199,10.05617,0.53689,0.06644,8.08103
