Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_0.5,Decision Tree,Baseline (none),0.5342,0.08063,6.62573,0.55828,0.09819,5.68576,0.60448,0.0506,11.94505,0.59012,0.05173,11.40781,0.6078,0.04818,12.61598
4s_no,Decision Tree,Baseline (none),0.53362,0.13945,3.82646,0.52613,0.20625,2.55086,0.65444,0.09259,7.06779,0.62205,0.09657,6.44161,0.64617,0.0994,6.50056
1s_no,XGBoost,Baseline (none),0.53332,0.08572,6.22149,0.48975,0.09165,5.34363,0.66447,0.05235,12.69362,0.62797,0.04366,14.38273,0.65893,0.04938,13.34439
1s_0.5,XGBoost,Baseline (none),0.53254,0.12634,4.21498,0.49744,0.15633,3.18195,0.65507,0.09931,6.59617,0.62613,0.10008,6.2565,0.64772,0.10366,6.24851
1s_0.5,Decision Tree,SMOTE,0.5318,0.07881,6.74771,0.55611,0.11575,4.80445,0.61284,0.07417,8.26311,0.59592,0.07162,8.32112,0.61559,0.07792,7.89979
1s_0.5,XGBoost,SMOTE,0.53154,0.11686,4.54853,0.51125,0.15461,3.30673,0.64162,0.10149,6.32189,0.61686,0.09886,6.24008,0.63708,0.10343,6.1598
4s_0.5,Decision Tree,TomekLinks,0.53128,0.11453,4.63888,0.54282,0.16342,3.32167,0.61232,0.0996,6.14786,0.59606,0.09815,6.07321,0.61123,0.10591,5.77148
3s_0.8,Decision Tree,SMOTETomek,0.52829,0.09408,5.61541,0.53159,0.13946,3.81175,0.61573,0.07865,7.82859,0.59655,0.07707,7.74021,0.61425,0.08184,7.50594
1s_0.8,Random Forest,Baseline (none),0.52708,0.18185,2.89843,0.4804,0.18853,2.54807,0.6783,0.09116,7.44102,0.63753,0.11386,5.5993,0.66314,0.11085,5.98245
2s_0.5,Decision Tree,SMOTETomek,0.52699,0.10203,5.16492,0.54467,0.09015,6.04202,0.61185,0.0615,9.94881,0.59133,0.06395,9.24645,0.61614,0.0557,11.06242
3s_0.8,Decision Tree,SMOTE,0.52592,0.09377,5.60866,0.53207,0.15225,3.49469,0.6146,0.0737,8.3395,0.59654,0.07504,7.94963,0.61319,0.07952,7.71072
4s_0.8,Decision Tree,SMOTE,0.52564,0.09036,5.81719,0.55187,0.10628,5.19261,0.58456,0.07063,8.27602,0.57365,0.07103,8.0757,0.58869,0.06902,8.52979
5s_no,Decision Tree,Baseline (none),0.52322,0.10316,5.07172,0.55628,0.1487,3.74102,0.60813,0.09047,6.7219,0.58278,0.07479,7.79194,0.60816,0.0924,6.58167
2s_0.8,Decision Tree,TomekLinks,0.52222,0.13558,3.85176,0.55137,0.16822,3.27774,0.6092,0.07939,7.67373,0.59099,0.08911,6.63204,0.60951,0.08986,6.78315
4s_0.5,Decision Tree,SMOTETomek,0.52204,0.1134,4.60343,0.53201,0.11692,4.55027,0.59901,0.08274,7.23976,0.58149,0.08292,7.01236,0.6019,0.08483,7.09574
3s_0.5,Decision Tree,TomekLinks,0.52013,0.08014,6.4906,0.52835,0.09242,5.71657,0.60328,0.05069,11.90227,0.58441,0.04866,12.01123,0.60467,0.05064,11.94162
1s_0.5,Decision Tree,TomekLinks,0.51953,0.11169,4.6515,0.52828,0.09998,5.28361,0.61277,0.06048,10.13194,0.59172,0.06929,8.53959,0.6161,0.05781,10.65816
5s_0.5,Decision Tree,SMOTETomek,0.51946,0.10228,5.07863,0.50414,0.08788,5.73684,0.62318,0.08438,7.38498,0.59093,0.07611,7.76394,0.62527,0.07788,8.02856
4s_0.8,Decision Tree,TomekLinks,0.51939,0.10683,4.86174,0.53116,0.15767,3.36885,0.59681,0.07687,7.76367,0.57916,0.07984,7.2542,0.597,0.07783,7.67094
3s_0.5,Decision Tree,SMOTETomek,0.5182,0.09308,5.56722,0.53128,0.12092,4.39369,0.60229,0.06097,9.87852,0.58189,0.05874,9.90686,0.60287,0.06663,9.04794
2s_0.5,Decision Tree,Baseline (none),0.51806,0.07213,7.1827,0.53038,0.11403,4.65114,0.6125,0.05674,10.79388,0.59308,0.05466,10.8507,0.61455,0.05874,10.46147
4s_0.8,Decision Tree,SMOTETomek,0.51746,0.07164,7.22325,0.53254,0.09108,5.84711,0.58359,0.06622,8.81234,0.56796,0.06005,9.45877,0.58526,0.06217,9.41334
1s_0.5,Decision Tree,SMOTETomek,0.51698,0.0639,8.09069,0.52735,0.12633,4.17437,0.6135,0.06542,9.37751,0.59234,0.05962,9.93579,0.61337,0.06793,9.02991
2s_no,Decision Tree,Baseline (none),0.51541,0.11726,4.3955,0.53881,0.16352,3.29511,0.60704,0.09354,6.48997,0.58327,0.09212,6.33149,0.60732,0.09517,6.38118
1s_no,Decision Tree,Baseline (none),0.51511,0.09567,5.38402,0.52845,0.12156,4.3471,0.61332,0.07208,8.50843,0.5919,0.0705,8.39586,0.61447,0.07582,8.10411
2s_0.8,Decision Tree,SMOTETomek,0.51157,0.14134,3.61938,0.51681,0.16793,3.07753,0.61154,0.09992,6.1202,0.59034,0.1041,5.67104,0.61026,0.10692,5.70755
2s_0.8,Decision Tree,SMOTE,0.50968,0.11531,4.41994,0.51412,0.13443,3.82454,0.60766,0.08111,7.49181,0.58768,0.0828,7.09725,0.60804,0.08712,6.97894
4s_0.8,Decision Tree,Baseline (none),0.50897,0.13391,3.80086,0.50546,0.18056,2.79947,0.60756,0.075,8.10133,0.58273,0.08238,7.07345,0.60465,0.07659,7.89445
3s_0.8,Decision Tree,Baseline (none),0.50503,0.08121,6.21878,0.50523,0.12528,4.03286,0.60014,0.05763,10.41419,0.58041,0.05856,9.91054,0.59913,0.06095,9.83037
1s_0.8,XGBoost,SMOTE,0.50426,0.14326,3.51996,0.47278,0.1642,2.87928,0.63921,0.09571,6.67875,0.60631,0.09991,6.06874,0.62986,0.10437,6.03506
1s_no,Decision Tree,TomekLinks,0.5041,0.05547,9.08804,0.51556,0.09506,5.42356,0.60048,0.06843,8.77466,0.58123,0.05941,9.78347,0.60286,0.0735,8.20255
2s_no,Decision Tree,SMOTE,0.50183,0.10655,4.7097,0.49395,0.12123,4.07439,0.61071,0.09787,6.23973,0.58585,0.09061,6.46535,0.60967,0.10008,6.09203
5s_0.5,Decision Tree,SMOTE,0.50011,0.08866,5.6409,0.51489,0.12688,4.05816,0.59243,0.06568,9.01977,0.56704,0.05081,11.15978,0.59493,0.06559,9.07043
1s_0.8,Decision Tree,SMOTETomek,0.49999,0.11796,4.23875,0.49955,0.13954,3.57996,0.61089,0.08107,7.53568,0.58683,0.08246,7.11627,0.60793,0.08974,6.77444
1s_no,Decision Tree,SMOTETomek,0.49839,0.05968,8.35051,0.50417,0.07235,6.96817,0.59999,0.04775,12.56515,0.57772,0.0432,13.37331,0.60305,0.0495,12.18256
1s_no,Decision Tree,SMOTE,0.49797,0.0687,7.24861,0.51003,0.08139,6.26621,0.59437,0.06415,9.26518,0.57333,0.05803,9.88031,0.59752,0.06841,8.73392
4s_0.5,Decision Tree,Baseline (none),0.49728,0.15818,3.14377,0.48504,0.17201,2.81991,0.61123,0.0988,6.18643,0.58017,0.10803,5.3704,0.60529,0.10856,5.57543
1s_0.8,XGBoost,TomekLinks,0.49593,0.15206,3.26132,0.45545,0.1616,2.81842,0.63921,0.10171,6.28474,0.60381,0.10749,5.61749,0.62814,0.11147,5.63525
1s_0.5,Decision Tree,Baseline (none),0.49443,0.07688,6.43133,0.49643,0.09836,5.04692,0.59925,0.06045,9.91235,0.57821,0.05903,9.79466,0.60003,0.06303,9.52016
1s_0.8,Decision Tree,Baseline (none),0.49341,0.08718,5.65968,0.49266,0.12799,3.84912,0.60582,0.05981,10.12878,0.58238,0.05854,9.94803,0.60261,0.06874,8.76664
2s_no,Decision Tree,SMOTETomek,0.49292,0.1392,3.5412,0.49761,0.15796,3.15016,0.60082,0.10178,5.90319,0.57494,0.10297,5.58378,0.60031,0.10619,5.65296
1s_0.8,Decision Tree,SMOTE,0.49189,0.11778,4.17631,0.48976,0.15386,3.18323,0.60785,0.08327,7.29994,0.58391,0.08711,6.7033,0.60368,0.09426,6.40425
1s_0.8,XGBoost,Baseline (none),0.49084,0.15472,3.17254,0.44347,0.16133,2.74882,0.64558,0.09078,7.11166,0.60573,0.10161,5.96102,0.63213,0.1034,6.11337
4s_0.5,Decision Tree,SMOTE,0.48772,0.12299,3.96545,0.49696,0.15266,3.25533,0.58241,0.0574,10.1464,0.55972,0.06514,8.59265,0.58263,0.05975,9.75126
5s_0.5,Decision Tree,Baseline (none),0.4864,0.1027,4.7361,0.50065,0.13851,3.61449,0.58475,0.07456,7.84307,0.56079,0.07345,7.63502,0.58777,0.07638,7.69514
4s_no,Decision Tree,TomekLinks,0.48033,0.0888,5.4094,0.47833,0.11522,4.15144,0.58609,0.08924,6.56757,0.56415,0.08351,6.75581,0.58743,0.09244,6.35505
4s_no,Decision Tree,SMOTE,0.46878,0.16381,2.86181,0.45923,0.17398,2.63954,0.58564,0.12898,4.54035,0.55885,0.12786,4.37088,0.58257,0.13322,4.37304
1s_0.8,Decision Tree,TomekLinks,0.46665,0.13956,3.34379,0.45279,0.16085,2.81495,0.60316,0.08105,7.44153,0.57155,0.09009,6.34414,0.59608,0.092,6.47916
3s_no,Decision Tree,SMOTE,0.45315,0.0875,5.1791,0.47719,0.08989,5.30881,0.53929,0.07104,7.59168,0.5177,0.07114,7.27703,0.54349,0.07225,7.52207
5s_no,Decision Tree,SMOTE,0.42964,0.15613,2.75178,0.43716,0.20697,2.11216,0.57597,0.1048,5.49602,0.53553,0.10062,5.32232,0.56846,0.11751,4.83734
