,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.130859375,12.0,0.6,0.02582953157953158,8,0,2,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.7421875,15.0,-0.4,-0.01061960261960262,2,2,6,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,1.0,22.0,0.1,-0.0157133560883561,5,1,4,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.65234375,18.0,-0.3,-0.03644913419913419,3,1,6,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.4921875,20.0,-0.2,-0.041542887667887676,4,0,6,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.8203125,20.0,0.1,-0.005093753468753482,5,1,4,False
