,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.556640625,21.0,0.0,0.020230186014191208,5,0,5,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.76953125,24.0,0.0,-0.020451776711032977,5,0,5,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.203125,11.0,-0.1,-0.05130316836071915,4,1,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.322265625,17.0,-0.4,-0.04068196272522419,3,0,7,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.3203125,13.5,-0.3,-0.07153335437491036,3,1,6,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.5703125,17.0,-0.1,-0.03085139164968618,4,1,5,False
