,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.8203125,20.0,-0.1,-0.024773181727967192,4,1,5,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.009765625,3.0,-0.8,-0.1042813869917441,1,0,9,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.4921875,20.0,0.0,-0.04400689144504395,5,0,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.037109375,7.0,-0.8,-0.0795082052637769,1,0,9,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.734375,19.0,-0.1,-0.019233709717076764,4,1,5,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.232421875,15.0,0.2,0.060274495546700134,6,0,4,False
