,comparison,technique_A,technique_B,p_value,statistic,effect_size,mean_improvement,A_wins,ties,B_wins,significant
0,none vs oversample_smote,none,oversample_smote,0.322265625,17.0,-0.4,-0.04195077758648008,3,0,7,False
1,none vs undersample_tomek_links,none,undersample_tomek_links,0.193359375,14.0,0.2,0.0669064196712011,6,0,4,False
2,none vs combined_smote_tomek,none,combined_smote_tomek,0.4921875,20.0,0.0,-0.03171174490559584,5,0,5,False
3,oversample_smote vs undersample_tomek_links,oversample_smote,undersample_tomek_links,0.02734375,6.0,0.6,0.1088571972576812,8,0,2,False
4,oversample_smote vs combined_smote_tomek,oversample_smote,combined_smote_tomek,0.6953125,23.0,0.0,0.010239032680884242,5,0,5,False
5,undersample_tomek_links vs combined_smote_tomek,undersample_tomek_links,combined_smote_tomek,0.048828125,8.0,-0.4,-0.09861816457679694,3,0,7,False
